n,i,algo1,algo2,algoR,algo4
4,916,322,243,426,194,
4,917,312,280,416,200,
4,918,349,272,406,197,
4,919,305,250,510,245,
4,920,357,237,433,190,
4,921,310,231,469,190,
4,922,321,284,500,207,
4,923,299,235,459,237,
4,924,312,283,465,195,
4,925,442,238,420,199,
4,926,324,235,431,181,
4,927,313,267,425,204,
4,928,323,228,461,223,
4,929,349,255,482,173,
4,930,361,242,460,188,
4,931,352,234,494,316,
4,932,436,234,490,178,
4,933,1889,238,450,208,
4,934,468,241,444,209,
4,935,362,243,467,204,
4,936,346,232,418,241,
4,937,323,234,446,187,
4,938,333,228,466,266,
4,939,373,243,422,265,
4,940,420,224,408,208,
4,941,302,239,406,185,
4,942,359,244,442,178,
4,943,321,232,448,234,
4,944,316,219,444,200,
4,945,309,240,483,192,
4,946,350,263,432,190,
4,947,349,243,440,198,
4,948,357,270,415,186,
